1: Wie haben sie geplant zu transkribieren | start: 0.0 sec., end: 8.6 sec.

2: macht Google IP und Marta noch mal hin | start: 6.8 sec., end: 12.7 sec.

1: dich drüber, ich versuche möglichst Hochdeutsch zu sprechen, ich will doch nicht | start: 12.6 sec., end: 16.7 sec.

2: mein Problem mein Handy | start: 16.3 sec., end: 24.0 sec.

1: schon seit | start: 20.7 sec., end: 29.9 sec.

2: vielen Dank, die haben die ganze Einwilligungserklärung und alles schon im Vorhinein gemacht und um das Thema einzusteigen, zeig Banken in einer technologisierten Welt, würde sie einfach mal kurz bitten, dass sie in der Bausatz erklären wer Sie sind, was sie unterrichten nach und was ihr Bezug zu dem Thema ist | start: 24.6 sec., end: 51.3 sec.

1: mir da müsste ich den bloder aktuell Professor für ERP-Systeme Prozessmanagement operational excellence MMC was Mädchen 15 Jahre. Seit etwa über eine Privatwirtschaft Kommentierungen auseinandergesetzt, das Thema zeitbanken soll saniert in Berlin am Arbeitskontext Verstoß sehr sehr ähnliche Konstrukte ähnliche Themen Kreise immer warum warum ich die Führungskraft da mehrere, warum kriegt keiner geht hin und her und sowieso es geht ja so equality praktisch herzustellen und aufgrund dessen soll ich habe ich sicherlich viel Achtel anderes persönliches Bild dazu, aber ja, ich kann mit der Idee anfreunden und ebenso wie der Frosch erwähnt ist, das Thema regionale Werbung unterbinden Viktor Laufwerk dabei rum genau sowas auch überlegen und im Darmbereich sich auch dieses gewaltige zurzeit in eurem Clan regionalen Umfeld muss bald gestorben, ich gehe | start: 47.8 sec., end: 119.1 sec.

2: jetzt einfach direkt. | start: 113.6 sec., end: 120.1 sec.

1: Mal mit | start: 119.9 sec., end: 120.5 sec.

2: der Frage einsteigen aber zum Thema Arbeitsmarkt, was gibt es ihrer Meinung nach im Arbeitsmarkt für Veränderungen, die meiner letzten bzw. Die es auch in Zukunft geben wird, hinsichtlich Digitalisierung der Standardisierung ok | start: 120.2 sec., end: 144.8 sec.

1: Didi, also bringt diverse zum noch digitalisation dieser Woche massiv geheimnisvolle klar und auch daran, was sich aufbauen zu nehmen wir disruption und was haben wir doch nur alles in diesem schönen Konglomerat drinnen. Finja hat nur geheilt, ist er wieder irgendein Modeerscheinung direkt dann wieder vorbei geht sollen wir vor 15 Jahre über Wissensmanagement geredet haben halt darüber Wissensmanagement in immer mehr schreibt. Und und und womit kämpft mal was sind im Moment die Challenges, ich glaub schon, | start: 141.4 sec., end: 185.6 sec.

2: dass | start: 184.3 sec., end: 189.0 sec.

1: Technologie bringt. Sie beherrscht Einzug hält aber nicht sicherlich nicht verheiratetes Arbeitswelt übern Haufen konkreter Fall bitte zur megageil unheimlich war so wie sie ziehen und ich mache mit dem Unternehmen gemeinsam schauen wir uns einmal an, wie kann man z.b. Jetzt work instructions als Video bereitstellen, als eine wirklich leid Idee daraus zusammen weit weg, um das zu wissen gerade bei dem Thema artificial intelligence eine Technologie. Siehst du total spannend sein, das ist cool ich nur den 55-Jährigen Mitarbeiter von Schieder. Fällt aus in die Gasmotoren richten Wurst, da wird mich interessieren auch vom Stresslevel untersuchen, wie du denn der sich leichter mit einem Blatt Papier mit dem iPad oder wenn wir den Mut Türkei April in die Hand gibt. Ja, es wird Veränderungen geben und sicherlich auch Veränderungen notwendig sein nur in dem Schritt und in den Tempel wo wir glauben, dass diese breitflächig stattfinden werden die Absicht nicht überzeugen, dass das funktioniert sinnvolle Anwendung und Detail anschauen Technologie faszinieren, ich muss sie einfach die Beste auf die Straßen grillen und dass ich ihn viele viele aktuelle Addi velopment sicherlich nicht gegeben und was man unterscheiden im Endeffekt mit der klassischen ein Maiherz Brille, wo ich sage einfach die haben die Technologie, wir haben unsere Unterstützer und was mein Handy vergessen darf mit Menschen zu tun. Unintended die Menschen in ihrer Freizeit 8 Stunden am Handy hängen und was Gott was für Technologie nutzen, was sie so lange, dass sie bereits in das im Arbeitsleben hat zu machen, deshalb Technologie, als es gibt es doch nur Mähroboter haben wir Kontakt mehr ist nicht der Weg, wo die Zukunft unterwegs wo ISO 50 ist, z.b. Hat man bis ist in property boa Roboter z.b. Die schwere Kastl auf Luft und dann im Montagetätigkeit trotzdem nur von der Mythologie und nicht als der einzige Faktor, warum er jetzt seine Freunde riesengroße Digitalisierung disruption machen, sondern wenn Unternehmen scheidenoperation excellent investiert hätten und die kontinuierliche Verbesserung investiert hätten, dann schreib mir jetzt alle für Diskussion, über die haben auch die Klopfer, wenn die deutschen Autobahnen Tschechien Markt Hamm. Funpark Hirslanden seid die agenda macht ja da bist du ungefähr, warum wir jetzt diese pressure verspüren, wir müssen jetzt mit Digitalisierung alles ändern und dann gibst du die Wasservögel die durch andere Seite betrachten, z.b. Lässiger Typ cooler Handy, aber der lässt dir frisch jedes Problem mit. Der geh ich bin da ganz ganz hin und hergerissen der Hund und die stellmachers nur die Frage ist wichtigste, ich und jetzt noch mal kurz Kremmen auf meine Ansicht diesen drei erkennen, was will man machen, was ich diese body technology und welche Arbeiter haben aber dabei und der ist lang gedient dann letztendlich dazu zu beschreiben. Nähe Robert die Reise hingehen immer das wahrscheinlich für BlueCard worker, der die Papiermaschinen steuert. Vielleicht nicht so dramatisch auf der anderen Seite nehmen uns beide einfach her, dass wir eigentlich mehr Oder weniger dort unsere Arbeit verrichten können, wo mein handy liegt und wo unser Laptop Quatsch steht nur internet connection haben. Ja, das ist so immer natürlich kann man dann Life Balance und es Work-Life-Balance Damon Ungeduld ja international tätigen über 20 Stunden unter ja und die Klappe mehr oder weniger hinkriegen, würden wir hinkriegen. Muss die Evolutionsgeschichte von Menschen oder passiert mit | start: 185.6 sec., end: 452.5 sec.

2: Menschen, wenn jetzt wird man gesund und jederzeit erreichbar ist oder jederzeit irgendwer von internationale Unternehmen, der Äußerung sehen Sie dann direkt im im Umfeld von der Arbeitszeit werden wir weniger arbeiten anders arbeiten oder wie würde sich das Gestalten auf langfristige Sicht natürlich axigen? mittelfristiger | start: 452.1 sec., end: 484.5 sec.

1: wenn wir weniger altenweddinger schlecht erkennen, aber um wenn ich meinen Fahrlehrer Frage, was ist denn sofort für ihre Cayenne und so, dann muss er das sozusagen bei dir antworten, weil ich kann mir daher mit mehreren Stunden hat nur gefühlt, sondern auch Papier zwischen 60 und 70 Stunden, weil es heute gern mochtest du die vielleicht gar nicht was bedeutet jetzt wenn Sie mich fragen, wo geht die Tendenz ihn einfach aus tiefster Überzeugung immer nur dass es im Leben Schoner bissel und Leistungsbereitschaft | start: 480.7 sec., end: 540.3 sec.

2: Geh und | start: 539.7 sec., end: 542.2 sec.

1: wenn einer Fußleisten will soll er vielleicht a bisserl mehr dafür kriegen bringt. Sie begründet sich jetzt aber nicht für soziale Themen oder irgendwas letzte Woche bin ich zum Nachbarn und mit der Autowerkstatt und ich habe einfach schnell Arsch mir mit ihr gebraucht bin ich um mich, wenn er von mir misbraucht islamische andere Wertigkeit Arbeitsumfeld finde ich schon dieses alles auf gleichzusetzen jemanden wo muss ich denn dann die Motivation da sitze da Unternehmen beste Seiko via Anbieter competitor, wenn alle Sorgen Muro 20 Stunde schwimmen halt wirklich mit Gabby definitiv zwischen zwischen zuerst diesem privaten Umfeld und anderen Arbeitskontext schon über Abstimmung sehen oder oder irgendwas. Seid ihr wieder erstaunlicherweise negativ wartet man wenn jemand in den Wald 22 Stunden die Woche vollkommen ausreichen Bedingungen damit erreichten, was will ich im Leben erreichen und nun also ich finde es soll alle Möglichkeiten geben und es soll die Facetten geben Leibnitz, wenn wir dann irgendwann mal nur vielleicht zu über Grundeinkommen diskutieren Dobby dann einfach | start: 542.0 sec., end: 630.1 sec.

2: draußen | start: 629.7 sec., end: 636.0 sec.

1: Unity Gemeinschaft das System nur funktionieren, wenn Oliver sein | start: 630.1 sec., end: 639.2 sec.

2: soll ein Gesellschaftsvertrag, dass es dann wirklich funktioniert auf lange Sicht | start: 638.9 sec., end: 647.9 sec.

1: ja von dem lange Frist stabil funktioniert und das Lied DT1 und das Grün am See finanziell. Aber das bringt die Betten ABC | start: 646.4 sec., end: 666.1 sec.

2: könnten wir uns schon kurz angesprochen zwecks Tätigkeiten, die digitalisiert werden sollten, was soll auf keinen Fall digitalisiert werden, | start: 662.0 sec., end: 684.2 sec.

1: davor muss zu meinem Verständnis werden | start: 674.9 sec., end: 690.6 sec.

