2: danke | start: 0.0sec., end: 6.2sec.

1: und um einfach mal ganz kurz in das Gespräch reinzukommen, würde ich Sie bitten Sie mir kurz erklären, was ihre Nation zurzeit Banken ist und wie sie also was die aktuellen auch machen, ich fange mit meiner Relation zur Zeit Banken, bin damit in Berührung gekommen im Zusammenhang mit einem Forschungsprojekt an der Wirtschaftsuniversität Wien bei dem Forschungsprojekt selbst ist es hauptsächlich darum gegangen eine Fitness App am Tablet für ältere Menschen die Pflegedienstleistungen empfangen zu entwickeln wurde begleitet von Asozialen Hilfsorganisationen die diese Personen eben betreuen von Sportwissenschaftlern von der Uni Salzburg | start: 3.2sec., end: 64.5sec.

2: und Salzburg Wichert zur Technik | start: 62.9sec., end: 71.8sec.

1: Forschungseinrichtung und eben von uns von der Wirtschaftsuni Wien als Evaluatoren dieser dieses | start: 67.9sec., end: 78.7sec.

2: Projekts und | start: 78.0sec., end: 81.1sec.

1: zusätzliche Komponente in diesem Projekt um in den älteren pflegebedürftigen Menschen neben diese Bewegungs Fitness-App näher zu bringen. Wäre eine Zeit Bank gewesen, die von den sozialen Organisationen ausgebaut werden hätte soll und dann im Laufe des Projektes im genutzt werden sollen, wir haben uns die Aufgabe gestellt, damit die Lage ab zu checken sozusagen, wie wird es in Österreich überhaupt ausschaut mit zeitbanken und Tauschkreise noch am Leben selbst machen? Am versucht die Begrifflichkeiten zu klären zu schauen, welche Modelle existieren in Österreich, wie funktionieren die wie groß sein die organisatorisch aufgebaut, welche Herausforderungen haben und so weiter, wir haben selbst eine Umfrage gestartet vom online Fragebögen an die Organisationen Tauschkreise, die wir selbst auftreiben finden konnten geschickt, weil wir sie auch Interviews am Telefon geführt mit Tauschkreis z-bon Koordinatoren und haben dann diesen Bericht verfasst Banken in diesem Projekt, dass wir begleiten nicht realisiert worden. War schon mal die erste Herausforderung anscheinend und ich an der viele dieser Projekte scheitern könnten. Ja, sozusagen, das war sozusagen Mehrheit Berührungspunkt oder meine Geschichte zu den zeitbanken und was sie jetzt gerade mach derzeit bin bei der Statistik Austria in EU Seal Team six of income and living conditions der Beschäftigung mit den Einkommens und Lebensbedingungen der Bevölkerung am machen große quantitative Befragung zum Thema Einkommen Lebenszufriedenheit verschiedene die Bedingungen in verschiedenen Lebensbereichen und | start: 79.6sec., end: 218.6sec.

2: bin beim | start: 217.3sec., end: 221.4sec.

1: großteils involviert in der Umstellung des Fragebogens der bis jetzt | start: 218.8sec., end: 228.2sec.

2: persönlich und telefonisch | start: 225.4sec., end: 231.6sec.

1: erhoben wurde. Soll jetzt auch. Wenn möglich sein und dazu müssen die Fragen umformuliert werden und in diese ganzen Arbeitsprozesse umgestellt und neu eingestellt werden und da bin i dran beteiligt. Ja, da gibt's einige antisemitistisch größte Hürde war das die Zeit manche nicht umgesetzt worden sind, woran hat es gelegen, aber eben anders zu erklären, die eine wer ihm die offizielle Erklärung warum, warum das nicht klappen kann, das war eine dieser Hilfsorganisationen hat von AWO juristisches Gutachten erstellen lassen, weil sie so viele zeitbanken und Tauschkreise rechtlichen Graubereich bewegen. Muss Steuern arbeitsrechtliche Dinge betrifft, so genau kenne mich da nicht aus, aber das war daneben die offizielle Begründung, dass es dazu dass das zu komplex zu kompliziert ist, das umzusetzen für ein Forschungsprojekt ist auf 3 Jahre und in Realität, also | start: 228.7sec., end: 318.1sec.

2: die Verfasserin | start: 316.5sec., end: 322.1sec.

1: awesome, das war dann zu um zu rechtlich zu unsicher und die eigene Erklärung die | start: 319.0sec., end: 332.5sec.

2: die mir dann also | start: 332.2sec., end: 337.6sec.

1: definiere plausibel Reis im System dann auch an dem Willen der der Hilfsorganisationen gescheiterte. Und in den anderen Orden anderen Kapazitäten im | start: 336.1sec., end: 350.8sec.

2: zwar nett ist nicht | start: 349.7sec., end: 352.5sec.

