2: Rechnung ist noch ausstehend sie schon ja jetzt | start: 0.0sec., end: 8.9sec.

1: jetzt ist genau der Papa gekommen | start: 8.8sec., end: 15.1sec.

2: da mal für die Zeit die sie sich nehmen, wir haben Datenschutzerklärung Einwilligungserklärung alles schon hinter uns und ich jetzt einfach mal ganz kurz damit starten, dass sie mir mal erzählen, was ihre Lektion zurzeit Banken ist und wie sie sie damit bisher schon beschäftigt haben, | start: 12.9sec., end: 35.0sec.

1: also, ich hatte an der Uni Hamburg Sozialökonomie studiert und das ist halt der interdisziplinärer Studiengang aus Betriebswirtschaft Volkswirtschaft, Soziologie Arbeits und Wirtschaftsrecht übergreifend und hatte dort auch speziell Vorlesung im Bereich des nonprofit-management und da gehört er halt auch der Bereich, der sharing economy unter anderem zu und ich fand es auch ganz interessant die Zeit Banken oder Senioren genau. Mannschaften oder ganz früher tauschte Nachbarschaftshilfe mal ein bisschen und dann neuen Aspekten zu schauen gerade, weil wir in Deutschland ja Baden-Württemberg 97 Modellprojekte auch hatten am seitdem aber halt nicht mehr viel zu lesen und zu hören, was es gibt ein paar Professoren in Deutschland, die da noch Veröffentlichung durchführen, aber mich hat halt interessiert, warum gibt's nur so ein Flickenteppich Splittergruppen viele verschiedene Ansätze von papiergebunden mit irgendwelchen Software-System und wenn man nach Japan guckt, das größte weltgrößte Tauschsystem, warum hat das so weit flächendeckend funktioniert, was waren vielleicht auch treibende Faktoren Volkswirtschaft dich gesehen und wieso funktioniert auch in Amerika als Beispiel und genau das hatte ich von Seminararbeiten bis Abschlussarbeit, da mich immer weiter mit beschäftigt der betreuende Doktorand und Proff. Festo.at waren halt auch da sehr interessiert und wollten auch das noch mit weiterverfolgen und genau ich hatte es halt dann in den den Rahmen des alsdann Institut so auch noch mit gegossen, weil die DSH zu schauen, dass die Erkenntnisse nicht nur in irgendwelchen wissenschaftlichen journals versickern sage ich mal wo der Otto-Normalverbraucher guckt da ja nicht rein, da hat er da hey, wir müssen wir haben Problem, wir wollen irgendwas lösen, wir fangen jetzt mal an so und die Stadt Hamburg hat z.b. Auch ein Leitfaden rausgebracht, der sehr auf der Metaebene an kratzt, was so zu beachten ist, aber ohne in die Tiefe zu gehen, deshalb hatte ich das halt auch als Bücher mit veröffentlich die unter anderem halt auch bei uns. Im Bundestag hatte ich sie hingeschickt an Frau Merkel unter Namsan Bundespräsidenten und halt unseren Bürgermeister der Stadt Hamburg, um das Ganze auch mal ein bisschen zu platzieren wieder ins Licht zu rücken und genau das ist so der Hintergrund und Werdegang. | start: 33.4sec., end: 184.8sec.

2: Sehr gut. Ja, dann will im Prinzip eigentlich schon Einsteigen in die erste Frage, die die vorbereitet habt im Zuge der Literaturrecherchen, wo eben auch Ihre Artikel drinnen waren und die Bücher ist mal aufgefallen. Gnocchis gibt es einerseits die aktive Komponente eines teilnehmenden in der Umfang und die Rolle des passiven passiv teilnehmenden, also jetzt nicht im Sinne von die die dabei sind und nichts machen, sondern wirklich der der die Leistung erbringt und der der sie bekommt jetzt so einteilen würden, was würden Sie sagen sind Merkmale bzw. Was braucht eine Zeit Bank, damit diese zwei Personengruppen diese nutzen | start: 183.7sec., end: 231.8sec.

1: wir das Problem ist, ja oder die Herausforderung am Anfang ja, das aus dem aktiven irgendwann ein passiver wird, weil er muss ja erstmal Zeit Bankguthaben aufbauen. Natürlich gibt es auch Ansätze wo man Buyin tätigen kann wo man sagt ok, ich kaufe die Stunden, weil vielleicht in der Finanzierungsphase die Zeit dann natürlich auch gewisse Kosten hat und sich durch Marketing oder Anschaffung irgendwo platzieren muss was aber ja nicht die Dauerlösung ist, sonst ist ja eher dass man in gesunder Zeit oder junger Zeit, wenn man statt einem Ehrenamt dann in der Zeit Bank aktiv Leistung erbringt und dann irgendwann zum Lebensalter, wie halt Janne Rentenvorsorge das Guthaben auch wieder abruft, was Bauch ist, dass sie zusammenkommen sind verschiedene Faktoren zur mein muss natürlich Nachfrage Angebot und Nachfrage, wenn es aus der Volkswirtschaft sehen sich irgendwo in einem Punkt matchen und es bringt nichts, wenn es nicht annähernd aus gepegelt Wert auf einem Niveau, also, wenn wir ein hohes Angebot haben, an aktiven Leistungserbringern die Stunden generieren wollen, indem sie Leistungen für die Nutzer erbringen Witz. Aber keiner da ist der sie abruft oder nicht, das Angebot das trifft was gebraucht wird, dann kann's halt auch passieren, dass Resignation entsteht und die Leute sagen ja gut, ich bin da jetzt gelistet und am Anfang war ich Feuer und Flamme und wollte aber irgendwie da kommt ja nichts, das ist halt einmal eine Gefahr und die andere Seite ist natürlich als passiver als Nutzer. Dann ja, wie sie es auch gesagt haben. Muss ja auch das was ich bräuchte oder wodran ich Interesse habe, ob Einkaufsbegleitung arztfahrten oder vielleicht noch früher Hilfe im Haushalt im Garten oder um die Kinder kümmern Hausaufgabenhilfe was auch immer muss ja nicht immer Richtung Lebensabend dann auch gehen. Muss ja jemand da sein, der ist bringt und wenn man jetzt z.b. St. Gallen die Zeit Bank schaut, die sichern ja auf das Guthaben ab und sagen halt auch okay, wenn jetzt ein Leistungserbringer nicht da ist, dann kaufen wir die Leistung monetär ein. Dann halt irgendwo ein Sozialdienst oder irgendwo keine Ahnung Sandra Werkstudenten whatever dann das übernehmen was da nicht übers Zeit gute also Zeitguthaben wird dann in Euro umgewandelt und dann als geldlich bezahlt, aber es muss als Angebot Nachfrage mit einem Delta plus minus. Muss schon irgendwo in eine Richtung laufen | start: 230.1sec., end: 388.8sec.
